Filename,Inode,File Type,Parent Path,Birth Time,Access Time,Modify Time,Change Time
Screenshot 2023-03-28 203104.png,281474977153755,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.537492000 -0500,2023-03-28 20:31:04.715751900 -0400,2023-12-01 12:49:21.415036200 -0500
Screenshot 2023-03-28 204336.png,1125899907283548,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.536375800 -0500,2023-03-28 20:43:36.000000000 -0400,2023-12-01 12:49:21.423031000 -0500
Screenshot 2023-03-28 204422.png,844424930573784,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.536375800 -0500,2023-03-28 20:44:22.499863700 -0400,2023-12-01 12:49:21.432031700 -0500
Screenshot 2023-03-28 204527.png,562949953863134,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.535366200 -0500,2023-03-28 20:45:27.476292300 -0400,2023-12-01 12:49:21.440035800 -0500
Screenshot 2023-03-28 204603.png,281474977153815,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.535366200 -0500,2023-03-28 20:46:03.519341900 -0400,2023-12-01 12:49:21.448543100 -0500
Screenshot 2023-03-28 204702.png,562949953864488,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.535366200 -0500,2023-03-28 20:47:02.070799400 -0400,2023-12-01 12:49:21.456545500 -0500
Screenshot 2023-03-28 204720.png,281474977153839,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.534372400 -0500,2023-03-28 20:47:20.011544800 -0400,2023-12-01 12:49:21.464548000 -0500
Screenshot 2023-03-28 204802.png,3377699720968798,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.534372400 -0500,2023-03-28 20:48:02.846923200 -0400,2023-12-01 12:49:21.472767500 -0500
Screenshot 2023-03-28 205059.png,562949953863149,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.534372400 -0500,2023-03-28 20:50:59.004444200 -0400,2023-12-01 12:49:21.480864300 -0500
Screenshot 2023-03-28 205131.png,281474977153842,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.534372400 -0500,2023-03-28 20:51:31.055845200 -0400,2023-12-01 12:49:21.489078700 -0500
Screenshot 2023-03-28 205201.png,281474977153845,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.533363800 -0500,2023-03-28 20:52:01.711339200 -0400,2023-12-01 12:49:21.498996900 -0500
Screenshot 2023-03-29 142654.png,2814749767497562,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.533363800 -0500,2023-03-29 14:26:54.453331700 -0400,2023-12-01 12:49:21.510228700 -0500
Screenshot 2023-03-29 142739.png,4222124650923556,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.533363800 -0500,2023-03-29 14:27:39.040003200 -0400,2023-12-01 12:49:21.519230400 -0500
Screenshot 2023-03-29 143908.png,8444249301719586,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.539496600 -0500,2023-03-29 14:39:08.000000000 -0400,2023-12-01 12:49:21.530358900 -0500
Screenshot 2023-03-29 143959.png,562949953864417,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.550003200 -0500,2023-03-29 14:39:59.086824200 -0400,2023-12-01 12:49:21.540502700 -0500
Screenshot 2023-03-29 144039.png,1407374883946069,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.561002300 -0500,2023-03-29 14:40:39.491755900 -0400,2023-12-01 12:49:21.550003200 -0500
Screenshot 2023-03-29 144050.png,1407374883946075,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.570002400 -0500,2023-03-29 14:40:50.307321800 -0400,2023-12-01 12:49:21.561002300 -0500
Screenshot 2023-03-29 144720.png,1407374883946082,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.590330300 -0500,2023-03-29 14:47:20.571135000 -0400,2023-12-01 12:49:21.570002400 -0500
Screenshot 2023-03-29 144944.png,2251799814077095,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.590246000 -0500,2023-03-29 14:49:44.283910800 -0400,2023-12-01 12:49:21.580155900 -0500
Screenshot 2023-03-29 144955.png,2251799814077111,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.602335900 -0500,2023-03-29 14:49:55.801027500 -0400,2023-12-01 12:49:21.589251000 -0500
Screenshot 2023-03-29 145006.png,2533274790788707,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.607330600 -0500,2023-03-29 14:50:06.000000000 -0400,2023-12-01 12:49:21.599333700 -0500
Screenshot 2023-03-29 153316.png,844424930574548,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.622520200 -0500,2023-03-29 15:33:16.000000000 -0400,2023-12-01 12:49:21.607330600 -0500
Screenshot 2023-03-29 153720.png,5066549581069063,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.628601100 -0500,2023-03-29 15:37:20.321537500 -0400,2023-12-01 12:49:21.616448400 -0500
Screenshot 2023-03-29 153748.png,562949953707711,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.633695000 -0500,2023-03-29 15:37:48.668232300 -0400,2023-12-01 12:49:21.624453200 -0500
Screenshot 2023-03-29 163507.png,562949953853065,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.645694600 -0500,2023-03-29 16:35:07.301287400 -0400,2023-12-01 12:49:21.633695000 -0500
Screenshot 2023-03-29 170851.png,844424930349135,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.651309400 -0500,2023-03-29 17:08:51.280098700 -0400,2023-12-01 12:49:21.640736500 -0500
Screenshot 2023-04-01 124454.png,1407374883612344,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.658304900 -0500,2023-04-01 12:44:54.206675500 -0400,2023-12-01 12:49:21.649368500 -0500
Screenshot 2023-04-01 134719.png,2814749767113098,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.671303500 -0500,2023-04-01 13:47:19.085935300 -0400,2023-12-01 12:49:21.658304900 -0500
Screenshot 2023-04-01 134749.png,1688849860305469,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.677304400 -0500,2023-04-01 13:47:49.497496900 -0400,2023-12-01 12:49:21.667304300 -0500
Screenshot 2023-04-01 141344.png,2251799813743489,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.686522000 -0500,2023-04-01 14:13:44.000000000 -0400,2023-12-01 12:49:21.675303400 -0500
Screenshot 2023-04-01 141847.png,2814749767365940,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.696636700 -0500,2023-04-01 14:18:47.344872300 -0400,2023-12-01 12:49:21.685512000 -0500
