Access Time,Parent Path
2020-06-09 15:15:43.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6
2019-07-23 13:31:11.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6
2018-11-08 22:57:22.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2018-11-08 22:57:25.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2018-11-08 22:57:28.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2019-07-23 13:42:19.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2018-11-08 22:57:35.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2018-11-08 22:57:38.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7
2018-11-08 22:57:49.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 8
2018-11-08 22:57:51.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 8
2018-11-08 22:57:55.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 8
2018-11-08 22:57:58.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 8
2019-07-23 13:48:42.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2019-12-04 11:17:44.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2020-01-07 12:13:46.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2018-11-08 22:58:18.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2021-06-04 18:58:45.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2018-11-08 22:58:25.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9
2021-12-04 18:51:13.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:36.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:32.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:29.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:25.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:38:37.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:38:42.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-06 12:38:45.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
