"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@babel\plugin-syntax-nullish-coalescing-operator\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\yargs\build\lib\typings","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj4\jorr\prisma\migrations\20231113210955_add_email_verified","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@prisma\client","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\css-tree\data","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\coverage\routes","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\playwright-core\lib\vite\recorder\assets","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\concat-map","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\undici\lib\api","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\playwright\lib\reporters","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\istanbul-reports\lib\lcovonly","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@nodelib\fs.walk\out","0","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Bounce Back","0","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\DSO","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@types\node","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\balanced-match","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\axobject-query\lib\util","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@sveltejs\kit\src\types\synthetic","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\lucia\dist\utils","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\prisma\migrations\20231113210955_add_email_verified","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\jest-snapshot\node_modules\semver\bin","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\make-dir","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\ci-info","0","No"
